,A'_MPI,A'_AW,A'_V,A'_R,A'_Rb,A'_ρ,A'_SA,A'_EN,A'_SE,A'_BT,A'_VIP,A'_VEA,A'_ME,A'_CP,A'_Ha,A'_So,A'_EI,A'_NI,A'_DMD,A'_DM
PEA,3.89237627,122.18788,174.72344,3.468075669,6.555908637,1.1613,178.29678,10.59742509,11.45393905,-35.51678918,-3.7006,-11.9601,-7.8303,7.8303,8.2595,0.1211,3.7117,-1.0046,13.054914,5.135686074
PMA,4.19004251,108.16126,151.54906,3.307419301,6.252210398,1.1851,157.29724,8.870075843,9.572304597,-37.73558145,-5.4535,-12.8572,-9.1554,9.1554,7.4037,0.1351,5.6607,-1.8492,8.683614,3.416055862
BA,4.48606856,74.14494,123.65149,3.090565546,5.842278916,0.9957,138.29808,7.204843469,8.072815835,-39.87458416,-3.7122,-14.6915,-9.2018,9.2018,10.9793,0.0911,3.8561,-3.7469,8.68089,3.414984264
BdA,8.44212381,90.16752,135.80644,3.188685075,6.027760067,1.1025,151.60864,8.382575049,9.103120986,-38.36177965,-6.6805,-19.5037,-13.0921,13.0921,12.8233,0.078,6.6833,-8.6533,0.0001,3.93E-05
ThMA,4.31418532,114.1887,142.24027,3.238264833,6.121483615,1.3331,149.5357,8.202660387,8.936445128,-38.59288131,-5.5163,-12.6246,-9.0704,9.0704,7.1083,0.1407,5.7871,-1.63,8.374982,3.294642801
PdA,9.15693676,76.1409,112.79227,2.997307404,5.665987531,1.121,130.48495,6.486991958,7.512106021,-40.79666949,-7.1106,-20.7948,-13.9527,13.9527,13.6842,0.0731,7.1132,-9.8962,1.632,0.642014162
MTEA,4.4044839,92.18311,129.04995,3.134903098,5.926092812,1.1862,142.14391,7.550737748,8.360783937,-39.43028053,-3.8633,-12.3074,-8.0854,8.0854,8.4441,0.1184,3.8709,-0.8098,10.131393,3.985599135
NH4,7.46322622,18.03847,29.8851,1.925113821,3.639156561,1.0023,47.47869,-3.167281407,3.567956343,-53.19765161,-4.4795,-24.2306,-14.3551,14.3551,19.751,0.0506,5.2166,-13.3895,0,0
FEA,5.28917972,64.08216,82.38981,2.699371601,5.102781855,1.2916,101.21752,3.585273588,5.701489357,-44.52394717,-4.1846,-16.7007,-10.4426,10.4426,12.5161,0.0799,4.3563,-5.1671,8.3234,3.274350905
3AMPY,4.2832604,109.14929,145.52901,3.263032247,6.168302925,1.2454,153.12462,8.513372564,9.22646685,-38.19376933,-5.7,-12.6391,-9.1695,9.1695,6.9392,0.1441,6.0584,-1.7667,10.110139,3.977238002
PeA,4.14964542,88.17155,146.85623,3.272921828,6.186997784,0.997,159.56917,9.062307204,9.764517444,-37.48865892,-3.69,-13.5784,-8.6342,8.6342,9.8883,0.1011,3.7696,-3.0333,11.410892,4.488942565
4-ClPMA,3.97479634,142.60626,172.52468,3.453466527,6.528292112,1.3726,176.05717,10.4182323,11.24204394,-35.74696358,-5.6297,-12.339,-8.9844,8.9844,6.7093,0.149,6.0155,-1.405,13.547333,5.329399292
4-BPMA,3.90361793,187.05685,180.07482,3.503126637,6.622167556,1.7249,182.0586,10.8958967,11.81588213,-35.13340029,-5.6318,-12.1294,-8.8806,8.8806,6.4976,0.1539,6.0687,-1.1479,16.513101,6.496105822
4-IPMA,3.80102746,234.05779,192.01866,3.578925453,6.765454542,2.0241,191.06352,11.59808016,12.71298474,-34.2314407,-5.6199,-11.6739,-8.6469,8.6469,6.054,0.1652,6.1752,-0.6298,18.442738,7.25520771
CEA,4.9419747,80.5367,98.62611,2.866171295,5.418093185,1.356,114.91054,4.988819119,6.491661398,-42.72108305,15.2128,5.5773,10.3951,-10.3951,9.6355,0.1038,5.6073,-3.311,10.006038,3.936285602
4-AMPY,4.29523168,109.14929,145.57068,3.263343657,6.168891602,1.2451,152.97037,8.500093677,9.213860404,-38.21082615,12.5585,5.7543,9.1564,-9.1564,6.8042,0.147,6.1608,-1.6633,11.143884,4.383904013
IHA,3.53929125,228.0947,211.58268,3.69656385,6.987833364,1.7901,215.55486,13.42820562,15.37193868,-31.88063165,-3.78,-11.2871,-7.5335,7.5335,7.5071,0.1332,3.78,0.2681,28.556699,11.23394925
HEA,5.10856108,62.09111,88.1032,2.760379129,5.218107994,1.1703,105.99343,4.085012576,5.965718123,-43.88202892,15.0224,3.9144,9.4684,-9.4684,11.1081,0.09,4.0354,-3.1735,6.625865,2.606555862
HA,3.87047888,102.19817,170.1449,3.437514083,6.498136263,0.9974,180.78023,10.79481676,11.69203625,-35.26323819,12.8851,3.6815,8.2833,-8.2833,9.2036,0.1087,3.7275,-2.4929,14.139948,5.562528718
3-FPEA,3.8545905,140.17834,178.4067,3.492276012,6.601655977,1.3047,181.92451,10.88531098,11.8028508,-35.14699773,11.8512,3.8446,7.8479,-7.8479,8.0066,0.1249,3.8461,-0.886,16.391761,6.448371755
i-BdA,8.75590914,90.16752,134.55465,3.17885763,6.009182665,1.1128,145.02125,7.806475807,8.581398508,-39.10178319,19.4321,7.1147,13.2734,-13.2734,12.3174,0.0812,7.1518,-9.1988,1.877852,0.738730134
EdA,10.03450113,62.11429,89.75816,2.777555983,5.250578418,1.1491,109.09356,4.403394732,6.143753091,-43.47306479,22.3904,9.4226,15.9065,-15.9065,12.9678,0.0771,9.7556,-11.4042,0,0
COOHPA,4.70221367,90.10125,112.70969,2.99657574,5.664604424,1.3275,128.24024,6.276803155,7.357042294,-41.06665848,14.2153,4.0449,9.1301,-9.1301,10.1704,0.0983,4.0981,-2.7525,12.173258,4.788850511
4-FPMA,4.15415564,126.15172,156.33344,3.341864233,6.317323692,1.34,162.58175,9.315107894,10.02364239,-37.16393465,12.7534,3.8456,8.2995,-8.2995,8.9078,0.1123,3.8664,-1.7867,11.961581,4.705578678
ThEA,3.9982081,128.21531,165.28342,3.404457662,6.435647754,1.2881,170.47489,9.966565051,10.72554873,-36.32713334,11.7016,3.6294,7.6655,-7.6655,8.0722,0.1239,3.6397,-0.6347,12.88276,5.067962234
MPA,4.6593257,74.14494,122.59501,3.081738414,5.825592465,1.0043,133.81964,6.795933537,7.747432845,-40.39983185,15.3015,3.529,9.4152,-9.4152,11.7725,0.0849,3.765,-4.8658,4.23883,1.667517703
PYEA,7.9919732,124.18385,163.30016,3.39078597,6.409803346,1.2628,172.21419,10.10807611,10.88469117,-36.1453614,17.7273,8.2152,12.9713,-12.9713,9.5121,0.1051,8.8442,-6.7256,9.13895,3.59518096
MHA,3.83577289,116.22479,192.34993,3.580982387,6.769342887,1.0034,197.33043,12.07703654,13.36287073,-33.61621785,13.0806,3.4573,8.2689,-8.2689,9.6232,0.1039,3.5526,-2.6744,10.038954,3.949234461
p-ClPEA,3.71113956,156.63288,195.61955,3.601158688,6.807483341,1.3296,197.0451,12.05539655,13.33282597,-33.64401457,11.524,3.7889,7.6565,-7.6565,7.7351,0.1293,3.7893,-0.6155,18.471868,7.266667191
F2EA,5.22150232,82.07263,86.89422,2.747694665,5.194129802,1.5684,103.98798,3.876567821,5.853282496,-44.14977767,13.4266,4.0295,8.7281,-8.7281,9.3971,0.1064,4.0534,-5.8228,6.895189,2.712505507
p-BrPEA,3.64881521,201.08347,203.22022,3.647207564,6.894532256,1.6431,203.07668,12.50955975,13.97719484,-33.06063874,11.3527,3.7915,7.5721,-7.5721,7.5612,0.1323,3.7915,-0.4281,21.745935,8.554655783
p-MPEA,3.65644918,136.2145,197.64115,3.613521404,6.830853316,1.1444,199.01531,12.20450346,13.541172,-33.4524857,11.4064,3.6551,7.5308,-7.5308,7.7513,0.129,3.6583,-0.5602,14.548818,5.723374508
MEdA,9.2302561,76.1409,113.26749,3.001510956,5.673933755,1.1163,131.27101,6.560168604,7.567042844,-40.70267357,21.4518,9.2603,15.3561,-15.3561,12.1915,0.082,9.671,-10.7852,4.18084,1.644704957
3-EAA,7.46341421,138.21046,185.4055,3.537358246,6.686877591,1.2378,189.60423,11.48542944,12.564665,-34.37614134,16.0625,6.7361,11.3993,-11.3993,9.3263,0.1072,6.9665,-5.1506,6.471802,2.545948859
IZ,5.17411378,69.08532,85.07735,2.728409117,5.15767319,1.3484,100.50748,3.509978224,5.663246194,-44.62066459,14.9966,3.9715,9.4841,-9.4841,11.0252,0.0907,4.0792,-3.5869,1.376203,0.541385917
2-EHA,3.78624568,116.22479,191.61435,3.576411787,6.760702811,1.0072,194.36502,11.85136427,13.05274019,-33.90609547,12.9339,3.61,8.2719,-8.2719,9.3239,0.1073,3.6693,-2.5033,12.973904,5.103817467
BZ,4.25835914,119.14414,143.8359,3.250328624,6.144288514,1.3755,150.39648,8.277519675,9.005378019,-38.49672402,13.3011,4.5373,8.9192,-8.9192,8.7638,0.1141,4.5387,-2.191,4.8171,1.895003934
2-BrPEA,3.89514948,201.08347,198.41065,3.618204983,6.839706962,1.6829,190.24341,11.53482446,12.6294902,-34.31269308,11.9334,3.4372,7.6853,-7.6853,8.4962,0.1177,3.4759,-1.5023,8.265385,3.251528324
3MEA,8.37751358,104.19414,156.46913,3.342830813,6.319150876,1.1058,159.72559,9.075491624,9.777852515,-37.47172344,20.5801,9.1359,14.858,-14.858,11.4442,0.0874,9.6451,-9.9617,7.115587,2.799208104
TAZ,5.34864171,70.07334,80.98969,2.683993252,5.073711252,1.4367,97.11707,3.146722591,5.484348651,-45.08726901,16.6544,6.1067,11.3805,-11.3805,10.5477,0.0948,6.1396,-5.352,3.994901,1.571558222
PdAOH,8.98786868,92.14031,122.51198,3.081042533,5.824277001,1.2489,136.15675,7.010165829,7.915900372,-40.12464896,19.4887,7.7589,13.6238,-13.6238,11.7298,0.0853,7.9118,-8.3344,1.961425,0.771607002
i-PA,4.98577465,60.11832,100.16645,2.881015544,5.446154148,0.9966,114.80227,4.978059915,6.48502084,-42.73490332,16.4415,3.6414,10.0415,-10.0415,12.8001,0.0781,3.9387,-5.6261,4.011718,1.578173879
CHA,4.37573865,100.18229,149.96722,3.295871627,6.230381147,1.1093,150.75926,8.309005309,9.034548645,-38.4562805,13.6054,3.7437,8.6745,-8.6745,9.8617,0.1014,3.8151,-3.5721,5.58713,2.197926829
